;AT1;AT2
0;-6,0725012;-5,3560028
0,1;-6,1819372;-5,5251417
0,2;-6,0469713;-5,3609347
0,3;-6,1159105;-5,4362807
0,5;-6,1376572;-5,4539609
0,6;-6,1448708;-5,4658103
0,7;-6,1479497;-5,4694529
0,8;-6,1299367;-5,4592571
1;-6,1539335;-5,4913011
1,1;-6,1381087;-5,4820447
1,2;-6,192513;-5,516572
1,3;-6,1865683;-5,5283918
1,5;-6,1635761;-5,5206614
1,6;-6,1726284;-5,5124311
1,7;-6,1818514;-5,5435586
1,8;-6,2259107;-5,5915079
2;-6,2040024;-5,551199
2,1;-6,1967854;-5,5604191
2,2;-6,2091117;-5,5676212
2,3;-6,2137465;-5,5707603
2,5;-6,2429538;-5,6032453
2,6;-6,2104645;-5,5857787
2,7;-6,2034807;-5,6013112
2,8;-6,2039194;-5,578094
3;-6,2139492;-5,586369
3,1;-6,2503395;-5,5949645
3,2;-6,2330575;-5,5986786
3,3;-6,2299514;-5,6108584
3,5;-6,2522464;-5,6444354
3,6;-6,2611938;-5,6108313
3,7;-6,255065;-5,6076708
3,8;-6,2701068;-5,6399956
4;-6,2593927;-5,6422687
4,1;-6,2597489;-5,6430135
4,2;-6,2774282;-5,6722341
4,3;-6,2704253;-5,6422005
4,5;-6,2741876;-5,6506205
4,6;-6,2926102;-5,6646872
4,7;-6,3096046;-5,6357951
4,8;-6,3090358;-5,6658654
5;-6,3167109;-5,6827273
5,1;-6,287385;-5,6716638
5,2;-6,303299;-5,6665955
5,3;-6,3215547;-5,6656227
5,5;-6,2928901;-5,6465211
5,6;-6,3362651;-5,6794434
5,7;-6,3158789;-5,7165027
5,8;-6,2982202;-5,6858544
6;-6,3315692;-5,7035537
6,1;-6,3528709;-5,7371492
6,2;-6,3467894;-5,7146835
6,3;-6,3354607;-5,7059908
6,5;-6,3636422;-5,7005296
6,6;-6,3457379;-5,7236934
6,7;-6,3404555;-5,695241
6,8;-6,2934246;-5,6831946
7;-6,3344069;-5,7303586
7,1;-6,3647513;-5,7376466
7,2;-6,3943257;-5,7592978
7,3;-6,3756533;-5,7355242
7,5;-6,3668399;-5,7488723
7,6;-6,4189634;-5,7755299
7,7;-6,3822441;-5,7454743
7,8;-6,3124752;-5,6710773
8;-6,3802352;-5,7169843
8,1;-6,3818545;-5,7596836
8,2;-6,3649449;-5,6960702
8,3;-6,4339814;-5,7876515
8,5;-6,3733778;-5,7604108
8,6;-6,4177222;-5,8465033
8,7;-6,410532;-5,7778211
8,8;-6,3329554;-5,7086945
9;-6,4124417;-5,7440419
9,1;-6,3829098;-5,7639203
9,2;-6,4003601;-5,8137693
9,3;-6,4025092;-5,7917743
9,5;-6,4079781;-5,7456856
9,6;-6,4148107;-5,75702
9,7;-6,4036698;-5,778398
9,8;-6,5077968;-5,8911009
10;-6,421845;-5,7771792
10,1;-6,4475656;-5,8142872
10,2;-6,4055176;-5,8332219
10,3;-6,4676347;-5,8839436
10,5;-6,4613495;-5,7942977
10,6;-6,4940538;-5,872426
10,7;-6,4595242;-5,8087816
10,8;-6,5828981;-5,8618016
11;-6,5700841;-5,9369898
11,1;-6,50421;-5,8348842
11,2;-6,5408406;-5,8697629
11,3;-6,5713248;-5,8987179
11,5;-6,5379934;-5,8282385
11,6;-6,5619264;-5,8799472
11,7;-6,5145841;-5,8272533
11,8;-6,4442592;-5,8032241
12;-6,5252094;-5,8019562
12,1;-6,530252;-5,8425336
12,2;-6,5220389;-5,794961
12,3;-6,4952292;-5,7471099
12,5;-6,5325823;-5,8321571
12,6;-6,5908742;-5,8426189
12,7;-6,5098624;-5,8303332
12,8;-6,4960995;-5,9064894
13;-6,5712214;-6,0037637
13,1;-6,6089196;-5,9637041
13,2;-6,6689267;-5,9192028
13,3;-6,59971;-5,9624181
13,5;-6,5609465;-5,8737659
13,6;-6,7362847;-5,9598284
13,7;-6,6271687;-5,9452658
13,8;-6,6344905;-5,8979211
14;-6,6018891;-5,8439903
14,1;-6,6127658;-5,9245977
14,2;-6,4802003;-5,8572898
14,3;-6,5656824;-5,9021688
14,5;-6,5397778;-5,9096622
14,6;-6,3818789;-5,8702955
14,7;-6,6127868;-5,973309
14,8;-6,6999807;-5,8661685
15;-6,4723606;-5,6786966
15,1;-6,5520945;-5,8942332
15,2;-6,5520639;-5,9149194
15,3;-6,4842696;-5,7890162
15,5;-6,5827003;-5,8421102
15,6;-6,3904099;-5,7270384
15,7;-6,4879336;-5,8325663
15,8;-6,4999495;-5,9410276
16;-6,6233759;-6,056334
16,1;-6,5536685;-5,9379907
16,2;-6,7018642;-6,1600556
16,3;-6,7417541;-6,135047
16,5;-6,6273766;-5,9858994
16,6;-6,5317435;-5,8280835
16,7;-6,5815291;-5,9301386
16,8;-6,6528959;-5,9773617
17;-6,5430512;-6,0323467
17,1;-6,595562;-6,0982537
17,2;-6,7734361;-6,3382711
17,3;-6,6502891;-6,1139073
17,5;-6,604763;-6,1695561
17,6;-6,6691842;-6,235076
17,7;-6,63269;-6,1071596
17,8;-6,6449819;-6,092711
18;-6,6507511;-6,1502218
18,1;-6,5937114;-6,0488605
18,2;-6,7349958;-6,1320472
18,3;-6,9166408;-6,3170514
18,5;-6,721148;-6,1979194
18,6;-6,7831035;-6,7315392
18,7;-6,7258201;-6,4286976
18,8;-6,7056623;-6,3428335
19;-6,5855451;-6,3520398
19,1;-6,6493793;-6,3405709
19,2;-6,661942;-6,2122674
19,3;-6,3794646;-6,0051169
19,5;-6,6617537;-6,2040534
19,6;-6,6823797;-6,1366124
19,7;-6,3285151;-5,9849863
19,8;-6,5432353;-6,1724377
20;-6,8754864;-6,2943406
20,1;-6,5918484;-6,25003
20,2;-6,5859489;-6,2773004
20,3;-6,8457723;-6,5978065
20,5;-6,5915117;-6,426959
20,6;-6,5866351;-6,6010737
20,7;-6,7862515;-6,5404706
20,8;-6,6405692;-6,5211201
21;-6,7008243;-6,6159716
21,1;-7,0770144;-7,0227861
21,2;-6,7323608;-6,8484697
21,3;-6,8032346;-6,81036
21,5;-6,9913912;-7,3227911
21,6;-6,4935203;-7,0142193
21,7;-6,4063091;-7,0447564
21,8;-6,8431592;-7,3670149
22;-6,3725562;-6,8714375
22,1;-6,3556833;-7,036921
22,2;-6,6871195;-7,0927153
22,3;-6,3432183;-6,6471105
22,5;-6,2786298;-6,6076841
22,6;-6,5723896;-6,7943912
22,7;-6,298667;-6,4092107
22,8;-6,175878;-6,365427
23;-6,5925679;-6,6987147
23,1;-6,3774819;-6,3805985
23,2;-6,437603;-6,6420293
23,3;-6,7801423;-7,0682073
23,5;-6,4541869;-6,8595815
23,6;-6,5488343;-6,7959661
23,7;-6,8960752;-7,387506
23,8;-6,6886034;-7,1931496
24;-6,5868754;-7,1809831
24,1;-6,8172321;-7,2947211
24,2;-6,752913;-7,2164183
24,3;-6,4939108;-6,6544023
24,5;-6,5853581;-6,8501096
24,6;-6,5937328;-6,9732475
24,7;-6,3765855;-6,5875807
24,8;-6,460104;-6,6620655
25;-6,4743943;-6,9265356
